Prix,Année,Boite,Carburant,secteur,kilometrage,marque,model,nbr de portes,origine,premiére main,puissance fiscale,état,km_min,km_max,km_moyen,km_binned
205000.0,2014,Automatique,Diesel,"Autre secteur, Rabat",190 000 - 199 999,BMW,Série 5,5.0,WW au Maroc,Non,8.0,Excellent,190000,199999,194999.5,150k-200k
279000.0,2021,Automatique,Diesel,"Hay Cheikh Lamfadel, Salé",30 000 - 34 999,HYUNDAI,Tucson,5.0,WW au Maroc,Oui,6.0,Excellent,30000,34999,32499.5,0-50k
410000.0,2020,Automatique,Diesel,"Ain Sebaa, Casablanca",95 000 - 99 999,VOLKSWAGEN,Tiguan,5.0,Dédouanée,Oui,8.0,Excellent,95000,99999,97499.5,50k-100k
220000.0,2018,Automatique,Diesel,"Bourgogne, Casablanca",180 000 - 189 999,VOLKSWAGEN,Passat Cc,5.0,WW au Maroc,Oui,8.0,Excellent,180000,189999,184999.5,150k-200k
529000.0,2020,Automatique,Diesel,"Oulfa, Casablanca",150 000 - 159 999,MERCEDES-BENZ,Classe Gle,5.0,WW au Maroc,Oui,8.0,Excellent,150000,159999,154999.5,150k-200k
360000.0,2018,Automatique,Diesel,"2 Mars, Casablanca",120 000 - 129 999,LAND ROVER,Range Rover Velar,5.0,WW au Maroc,Non,8.0,Excellent,120000,129999,124999.5,100k-150k
320000.0,1995,Manuelle,Essence,"Toute la ville, Dcheïra El Jihadia",95 000 - 99 999,RENAULT,19,5.0,Importée neuve,Non,8.0,Excellent,95000,99999,97499.5,50k-100k
335000.0,2024,Automatique,Diesel,"Autre secteur, Casablanca",5 000 - 9 999,SEAT,Leon,5.0,WW au Maroc,Oui,8.0,Excellent,5000,9999,7499.5,0-50k
260000.0,2016,Automatique,Diesel,"Autre secteur, Casablanca",180 000 - 189 999,BMW,X5,5.0,WW au Maroc,Non,8.0,Excellent,180000,189999,184999.5,150k-200k
370000.0,2019,Automatique,Essence,"Autre secteur, Casablanca",55 000 - 59 999,VOLKSWAGEN,Tiguan,5.0,WW au Maroc,Oui,11.0,Excellent,55000,59999,57499.5,50k-100k
255000.0,2019,Automatique,Diesel,"Centre, Kénitra",130 000 - 139 999,VOLKSWAGEN,Arteon,3.0,Dédouanée,Oui,8.0,Très bon,130000,139999,134999.5,100k-150k
235000.0,2017,Automatique,Diesel,"Massira, Marrakech",200 000 - 249 999,AUDI,Q5,5.0,WW au Maroc,Oui,8.0,Bon,200000,249999,224999.5,200k-300k
300000.0,2008,Manuelle,Diesel,"C.I.L, Casablanca",150 000 - 159 999,LAND ROVER,Defender,5.0,WW au Maroc,Oui,10.0,Très bon,150000,159999,154999.5,150k-200k
420000.0,2021,Automatique,Essence,"Riad Toulal, Meknès",80 000 - 84 999,JAGUAR,F-Pace,5.0,WW au Maroc,Oui,11.0,Excellent,80000,84999,82499.5,50k-100k
385000.0,2019,Automatique,Diesel,"Aouama Gharbia, Tanger",140 000 - 149 999,VOLKSWAGEN,Tiguan,5.0,Dédouanée,Oui,9.0,Neuf,140000,149999,144999.5,100k-150k
215000.0,2019,Automatique,Essence,"Av Mohammed VI, Marrakech",40 000 - 44 999,TOYOTA,C-Hr,5.0,WW au Maroc,Oui,10.0,Excellent,40000,44999,42499.5,0-50k
245500.0,2023,Automatique,Diesel,"Maarif, Casablanca",45 000 - 49 999,KIA,Seltos,5.0,WW au Maroc,Oui,6.0,Excellent,45000,49999,47499.5,0-50k
290000.0,1992,Manuelle,Diesel,"Autre secteur, Meknès",140 000 - 149 999,MERCEDES-BENZ,190,5.0,WW au Maroc,Non,10.0,Bon,140000,149999,144999.5,100k-150k
219000.0,2016,Automatique,Diesel,"Ain Amiyer, Fès",150 000 - 159 999,BMW,X4,5.0,WW au Maroc,Non,8.0,Très bon,150000,159999,154999.5,150k-200k
500000.0,2019,Automatique,Diesel,"Hay el Fath, Rabat",170 000 - 179 999,VOLKSWAGEN,Touareg,5.0,WW au Maroc,Oui,12.0,Excellent,170000,179999,174999.5,150k-200k
300000.0,2019,Automatique,Diesel,"Toute la ville, Imintanoute",110 000 - 119 999,HYUNDAI,Santa Fe,5.0,WW au Maroc,Non,9.0,Excellent,110000,119999,114999.5,100k-150k
390000.0,2019,Automatique,Diesel,"Hay Salam, Agadir",120 000 - 129 999,MERCEDES-BENZ,Classe C,5.0,Dédouanée,Oui,8.0,Excellent,120000,129999,124999.5,100k-150k
